console,week,sales
PS5,2020-10-31,0
PS5,2020-11-07,0
PS5,2020-11-14,1464910
PS5,2020-11-21,1001418
PS5,2020-11-28,291496
PS5,2020-12-05,331974
PS5,2020-12-12,351048
PS5,2020-12-19,365661
PS5,2020-12-26,333021
PS5,2021-01-02,228501
PS5,2021-01-09,180395
PS5,2021-01-16,164376
PS5,2021-01-23,204284
PS5,2021-01-30,199738
PS5,2021-02-06,220355
PS5,2021-02-13,244983
PS5,2021-02-20,254068
PS5,2021-02-27,252972
PS5,2021-03-06,271533
PS5,2021-03-13,288401
PS5,2021-03-20,323711
PS5,2021-03-27,335473
PS5,2021-04-03,261269
PS5,2021-04-10,169704
PS5,2021-04-17,164733
PS5,2021-04-24,169800
PS5,2021-05-01,179493
PS5,2021-05-08,149994
PS5,2021-05-15,194397
PS5,2021-05-22,160753
PS5,2021-05-29,204713
WiiU,2012-11-24,472099
WiiU,2012-12-01,321306
WiiU,2012-12-08,529269
WiiU,2012-12-15,333322
WiiU,2012-12-22,318607
WiiU,2012-12-29,189631
WiiU,2013-01-05,117911
WiiU,2013-01-12,46675
WiiU,2013-01-19,35110
WiiU,2013-01-26,31386
WiiU,2013-02-02,33926
WiiU,2013-02-09,33744
WiiU,2013-02-16,35750
WiiU,2013-02-23,32741
WiiU,2013-03-02,27562
WiiU,2013-03-09,26498
WiiU,2013-03-16,26295
WiiU,2013-03-23,49784
WiiU,2013-03-30,60456
WiiU,2013-04-06,41630
WiiU,2013-04-13,31371
WiiU,2013-04-20,29961
WiiU,2013-04-27,27706
WiiU,2013-05-04,29252
WiiU,2013-05-11,23500
WiiU,2013-05-18,21108
WiiU,2013-05-25,22112
WiiU,2013-06-01,21912
WiiU,2013-06-08,20268
WiiU,2013-06-15,19251
WiiU,2013-06-22,17711
WiiU,2013-06-29,20102
WiiU,2013-07-06,21177
WiiU,2013-07-13,35480
WiiU,2013-07-20,28987
WiiU,2013-07-27,27389
WiiU,2013-08-03,24714
WiiU,2013-08-10,29927
WiiU,2013-08-17,27591
WiiU,2013-08-24,22286
WiiU,2013-08-31,20435
WiiU,2013-09-07,21284
WiiU,2013-09-14,18767
WiiU,2013-09-21,32222
WiiU,2013-09-28,41198
WiiU,2013-10-05,67009
WiiU,2013-10-12,42578
WiiU,2013-10-19,31328
WiiU,2013-10-26,29449
WiiU,2013-11-02,74713
WiiU,2013-11-09,59236
WiiU,2013-11-16,71374
WiiU,2013-11-23,104023
WiiU,2013-11-30,240103
WiiU,2013-12-07,198058
WiiU,2013-12-14,275278
WiiU,2013-12-21,350743
WiiU,2013-12-28,244104
WiiU,2014-01-04,118339
WiiU,2014-01-11,51141
WiiU,2014-01-18,39418
WiiU,2014-01-25,33344
WiiU,2014-02-01,33185
WiiU,2014-02-08,35144
WiiU,2014-02-15,42092
WiiU,2014-02-22,46095
WiiU,2014-03-01,39826
WiiU,2014-03-08,35130
WiiU,2014-03-15,34859
WiiU,2014-03-22,36371
WiiU,2014-03-29,38415
WiiU,2014-04-05,31694
WiiU,2014-04-12,27423
WiiU,2014-04-19,29115
WiiU,2014-04-26,26864
WiiU,2014-05-03,27755
WiiU,2014-05-10,27255
WiiU,2014-05-17,25983
WiiU,2014-05-24,28630
WiiU,2014-05-31,123064
WiiU,2014-06-07,88836
WiiU,2014-06-14,67928
WiiU,2014-06-21,58092
WiiU,2014-06-28,56217
WiiU,2014-07-05,57006
WiiU,2014-07-12,52783
WiiU,2014-07-19,51149
WiiU,2014-07-26,50431
WiiU,2014-08-02,48175
WiiU,2014-08-09,50074
WiiU,2014-08-16,52500
WiiU,2014-08-23,41497
WiiU,2014-08-30,39940
WiiU,2014-09-06,35521
WiiU,2014-09-13,35248
WiiU,2014-09-20,38415
WiiU,2014-09-27,49337
WiiU,2014-10-04,41038
WiiU,2014-10-11,36505
WiiU,2014-10-18,38892
WiiU,2014-10-25,44337
WiiU,2014-11-01,50999
WiiU,2014-11-08,53555
WiiU,2014-11-15,77230
WiiU,2014-11-22,129677
WiiU,2014-11-29,260020
WiiU,2014-12-06,207218
WiiU,2014-12-13,250188
WiiU,2014-12-20,289447
WiiU,2014-12-27,274362
WiiU,2015-01-03,130995
WiiU,2015-01-10,45284
WiiU,2015-01-17,38408
WiiU,2015-01-24,33146
WiiU,2015-01-31,35005
WiiU,2015-02-07,40201
WiiU,2015-02-14,50624
WiiU,2015-02-21,46648
WiiU,2015-02-28,36094
WiiU,2015-03-07,31575
WiiU,2015-03-14,29609
WiiU,2015-03-21,45031
WiiU,2015-03-28,36317
WiiU,2015-04-04,32254
WiiU,2015-04-11,29874
WiiU,2015-04-18,28516
WiiU,2015-04-25,29240
WiiU,2015-05-02,44206
WiiU,2015-05-09,29746
WiiU,2015-05-16,25123
WiiU,2015-05-23,25595
WiiU,2015-05-30,54586
WiiU,2015-06-06,53660
WiiU,2015-06-13,47346
WiiU,2015-06-20,45310
WiiU,2015-06-27,40730
WiiU,2015-07-04,37805
WiiU,2015-07-11,33521
WiiU,2015-07-18,34224
WiiU,2015-07-25,34048
WiiU,2015-08-01,34306
WiiU,2015-08-08,34978
WiiU,2015-08-15,37806
WiiU,2015-08-22,31980
WiiU,2015-08-29,32119
WiiU,2015-09-05,29755
WiiU,2015-09-12,62858
WiiU,2015-09-19,48381
WiiU,2015-09-26,47320
WiiU,2015-10-03,37686
WiiU,2015-10-10,36390
WiiU,2015-10-17,39331
WiiU,2015-10-24,42596
WiiU,2015-10-31,49549
WiiU,2015-11-07,54949
WiiU,2015-11-14,71326
WiiU,2015-11-21,96727
WiiU,2015-11-28,255592
WiiU,2015-12-05,186244
WiiU,2015-12-12,234590
WiiU,2015-12-19,302130
WiiU,2015-12-26,343021
WiiU,2016-01-02,136957
WiiU,2016-01-09,49338
WiiU,2016-01-16,34347
WiiU,2016-01-23,28008
WiiU,2016-01-30,28927
WiiU,2016-02-06,28312
WiiU,2016-02-13,31060
WiiU,2016-02-20,31378
WiiU,2016-02-27,27394
WiiU,2016-03-05,30835
WiiU,2016-03-12,25560
WiiU,2016-03-19,37045
WiiU,2016-03-26,24836
WiiU,2016-04-02,22098
WiiU,2016-04-09,22300
WiiU,2016-04-16,22688
WiiU,2016-04-23,22743
WiiU,2016-04-30,25896
WiiU,2016-05-07,21525
WiiU,2016-05-14,17403
WiiU,2016-05-21,17742
WiiU,2016-05-28,17519
WiiU,2016-06-04,18243
WiiU,2016-06-11,16804
WiiU,2016-06-18,17313
WiiU,2016-06-25,17244
WiiU,2016-07-02,16895
WiiU,2016-07-09,26950
WiiU,2016-07-16,19460
WiiU,2016-07-23,17775
WiiU,2016-07-30,17356
WiiU,2016-08-06,16173
WiiU,2016-08-13,16435
WiiU,2016-08-20,15891
WiiU,2016-08-27,16191
WiiU,2016-09-03,16037
WiiU,2016-09-10,17395
WiiU,2016-09-17,17545
WiiU,2016-09-24,18673
WiiU,2016-10-01,18658
WiiU,2016-10-08,16965
WiiU,2016-10-15,14775
WiiU,2016-10-22,13111
WiiU,2016-10-29,14170
WiiU,2016-11-05,16744
WiiU,2016-11-12,18599
WiiU,2016-11-19,21995
WiiU,2016-11-26,51538
WiiU,2016-12-03,38211
WiiU,2016-12-10,39620
WiiU,2016-12-17,43454
WiiU,2016-12-24,45653
WiiU,2016-12-31,19903
WiiU,2017-01-07,7041
WiiU,2017-01-14,4105
WiiU,2017-01-21,3393
WiiU,2017-01-28,3187
WiiU,2017-02-04,3154
WiiU,2017-02-11,2849
WiiU,2017-02-18,2643
WiiU,2017-02-25,2712
WiiU,2017-03-04,2790
WiiU,2017-03-11,2473
WiiU,2017-03-18,2382
WiiU,2017-03-25,2360
WiiU,2017-04-01,2373
WiiU,2017-04-08,2101
WiiU,2017-04-15,1980
WiiU,2017-04-22,2041
WiiU,2017-04-29,2091
WiiU,2017-05-06,2164
WiiU,2017-05-13,1875
WiiU,2017-05-20,1833
